audio_path,transcription
wav/audio_001.wav,"Sannu, yaya kake yau?"
wav/audio_002.wav,"Ina lafiya, nagode sosai."
wav/audio_003.wav,"Yau rana tana da kyau."
wav/audio_004.wav,"Ina son yin aiki da safe."
wav/audio_005.wav,"Yaro yana wasa a waje."
wav/audio_006.wav,"Mace tana dafa abinci a gida."
wav/audio_007.wav,"Ruwa yana tafasa yanzu."
wav/audio_008.wav,"Na tashi da wuri yau."
wav/audio_009.wav,"Muna tafiya kasuwa da rana."
wav/audio_010.wav,"Na dawo gida da yamma."
wav/audio_011.wav,"Ina jin yunwa yanzu."
wav/audio_012.wav,"Ina son shan ruwa mai sanyi."
wav/audio_013.wav,"Muna tare da iyali yau."
wav/audio_014.wav,"Kowa yana farin ciki."
wav/audio_015.wav,"Allah ya taimake mu."
wav/audio_016.wav,"Me kake yi yanzu?"
wav/audio_017.wav,"Ina za ka je yau?"
wav/audio_018.wav,"Wane lokaci ne yanzu?"
wav/audio_019.wav,"Kana jin dadi?"
wav/audio_020.wav,"Shin ka ci abinci?"
wav/audio_021.wav,"Wace rana ce yau?"
wav/audio_022.wav,"Wa ya zo nan?"
wav/audio_023.wav,"Me yasa ka tsaya?"
wav/audio_024.wav,"Kana son tafiya?"
wav/audio_025.wav,"Ina littafin yake?"
wav/audio_026.wav,"Wace hanya za mu bi?"
wav/audio_027.wav,"Za ka dawo gobe?"
wav/audio_028.wav,"Ka fahimci abin da na ce?"
wav/audio_029.wav,"Kana jin muryata?"
wav/audio_030.wav,"Yaya aikin yau?"
